dishName,typeOfDish,ingredients,preparationSteps,timeToPrepare,uploadedBy,rating,hasVideo
Turkey Sandwich,Lunch,Ribs؛ BBQ sauce,Simmer over low heat,39,Fahad,3.1,yes
Pancakes,Breakfast,Peppers؛ rice؛ beef,Roast in oven,43,Reem,2.3,yes
Smoothie,Lunch,Lettuce؛ croutons؛ cheese,Mix and chill,23,Raed,2.3,yes
Fish Tacos,Dinner,Turkey؛ bread؛ lettuce,Mix and cook all ingredients,25,Salman,4.4,no
Fish Tacos,Lunch,Fish؛ tortilla؛ cabbage,Blend؛ fry؛ and serve,28,Mashael,1.8,yes
Caesar Salad,Dinner,Oats؛ milk؛ honey,Mix and cook all ingredients,39,Abdullah,4.0,no
Caesar Salad,Lunch,Beef؛ potatoes؛ carrots,Mix and cook all ingredients,40,Nawaf,0.1,yes
Baked Salmon,Breakfast,Eggs؛ butter؛ salt,Assemble and toast,37,Leila,2.8,no
Avocado Toast,Breakfast,Eggs؛ butter؛ salt,Mix and chill,34,Khalid,2.5,yes
Mushroom Risotto,Lunch,Tomato؛ cream؛ herbs,Roast in oven,22,Turki,4.9,no
Fried Rice,Lunch,Pasta؛ meat؛ tomato sauce,Mix and cook all ingredients,35,Salman,0.3,yes
Smoothie,Dinner,Avocado؛ bread؛ olive oil,Mix and chill,45,Nawaf,3.9,yes
BBQ Ribs,Lunch,Oats؛ milk؛ honey,Mix and chill,25,Abdullah,0.9,yes
Avocado Toast,Breakfast,Tomato؛ cream؛ herbs,Grill and garnish,40,Raed,3.3,yes
Oatmeal,Breakfast,Chicken؛ curry powder؛ yogurt,Boil and stir,12,Abdullah,3.8,yes
Fried Rice,Lunch,Chicken؛ curry powder؛ yogurt,Stir fry on high heat,16,Raed,0.2,no
Pancakes,Breakfast,Quinoa؛ beans؛ corn,Roast in oven,33,Sara,0.6,no
Oatmeal,Lunch,Quinoa؛ beans؛ corn,Stir fry on high heat,11,Khalid,3.2,yes
Scrambled Eggs,Lunch,Tomato؛ cream؛ herbs,Boil and stir,36,Abdullah,1.2,yes
Tomato Soup,Breakfast,Fish؛ tortilla؛ cabbage,Blend؛ fry؛ and serve,21,Khalid,4.7,no
Spaghetti Bolognese,Dinner,Ribs؛ BBQ sauce,Roast in oven,12,Reem,3.4,no
Beef Stew,Breakfast,Tomato؛ cream؛ herbs,Mix and chill,36,Raed,4.0,no
Grilled Chicken,Lunch,Rice؛ vegetables؛ soy sauce,Boil and stir,25,Haifa,3.0,yes
Scrambled Eggs,Breakfast,Ribs؛ BBQ sauce,Boil and stir,39,Abdullah,3.6,no
BBQ Ribs,Dinner,Beef؛ potatoes؛ carrots,Assemble and toast,6,Abdullah,3.4,yes
Tomato Soup,Breakfast,Peppers؛ rice؛ beef,Stir fry on high heat,8,Abdullah,3.0,no
Mushroom Risotto,Breakfast,Rice؛ vegetables؛ soy sauce,Stir fry on high heat,8,Sara,3.4,no
Stuffed Peppers,Dinner,Chicken؛ spices؛ oil,Stir fry on high heat,30,Reem,3.2,yes
Veggie Stir Fry,Lunch,Lettuce؛ croutons؛ cheese,Mix and cook all ingredients,10,Nawaf,1.6,yes
Pancakes,Lunch,Pasta؛ meat؛ tomato sauce,Stir fry on high heat,16,Haifa,2.5,yes
Fried Rice,Lunch,Chicken؛ spices؛ oil,Stir fry on high heat,42,Raed,2.7,yes
Quinoa Bowl,Breakfast,Avocado؛ bread؛ olive oil,Assemble and toast,22,Abdullah,0.1,yes
Mushroom Risotto,Dinner,Avocado؛ bread؛ olive oil,Stir fry on high heat,15,Haifa,1.1,no
